" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"15","4","Gamer (2009)","Gulf","$4,628","-89.9%","4","-17","$1,157","$280,808","3"
"16","7","Smother","Gulf","$2,866","-92.3%","6","-4","$478","$49,977","2"
"17","8"," Ibrahim El Abiad","Gulf","$1,738","-94.3%","2","-12","$869","$43,632","2"
"18","20","Harry Potter and the Half Blood Prince","WB","$1,669","-11.2%","1","-","$1,669","$1,497,813","16"
"19","14","Aliens in the Attic","Fox","$1,296","-81.0%","2","-1","$648","$131,910","5"
"20","21","District 9","Gulf","$1,273","-12.0%","1","-","$1,273","$429,766","7"
"21","12","Julie & Julia","Sony","$972","-93.0%","1","-2","$972","$58,543","3"
"22","25","UIP","$139","-63.8%","1","-","$139","$2,285,332","19",""
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","A Perfect Getaway","n/a","$166,245","-","20","-","$8,312","$211,577","1"
"2","N"," The Fifth Commandment","Gulf","$86,296","-","20","-","$4,315","$109,408","1"
"3","N","Love Happens","Italian","$66,394","-","11","-","$6,036","$87,888","1"
"4","1","Gamer (2009)","Gulf","$45,705","-74.2%","21","+20","$2,176","$274,728","2"
"5","2"," Banlieue 13 - Ultimatum","Italian","$44,799","-71.3%","15","-7","$2,987","$262,218","2"
"6","4","Shorts","WB","$37,313","-39.5%","16","+1","$2,332","$108,097","2"
"7","N","Smother","Gulf","$37,302","-","10","-","$3,730","$46,055","1"
"8","N"," Ibrahim El Abiad","Gulf","$30,611","-","14","-","$2,187","$41,001","1"
"9","5","The Final Destination","WB","$26,576","-47.7%","3","-4","$8,859","$760,415","4"
"10","9"," Cloudy with a Chance of Meatballs","Sony","$24,974","+5.4%","8","+2","$3,122","$548,024","6"
"11","3","Surrogates","Disney","$18,842","-74.5%","6","-14","$3,140","$472,449","3"
"12","8","Julie & Julia","Sony","$13,913","-53.1%","3","-1","$4,638","$53,823","2"
"13","6","The Time Traveler's Wife","Gulf","$12,745","-71.5%","6","-14","$2,124","$219,466","3"
"14","14","Aliens in the Attic","Fox","$6,807","-26.4%","3","-","$2,269","$130,524","4"
"15","10","Inglourious Basterds","UIP","$5,761","-68.1%","2","-3","$2,881","$569,980","5"
"16","7","Sorority Row","Gulf","$5,412","-84.8%","9","-11","$601","$218,584","3"
"17","12","The Ugly Truth","Sony","$4,039","-69.2%","2","-2","$2,020","$479,069","5"
"18","11","Battle in Seattle","Gulf","$3,601","-73.7%","7","-1","$514","$22,386","2"
