" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"2","1","Harry Potter and the Half Blood Prince","WB","$314,913","-52.7%","49","+15","$6,427","$1,294,919","2","Unknown"
"3","2","Ice Age: Dawn of the Dinosaurs","Fox","$219,422","-38.0%","57","-2","$3,850","$2,451,191","4","Unknown"
"4","N","The Taking of Pelham One, Two, Three","Sony","$128,649","-","19","-","$6,771","$128,649","1","UK, USA"
"5","3","Brüno","Forum Films","$86,529","-53.4%","30","-","$2,884","$742,240","3","Unknown"
"6","6","Ghosts of Girlfriends Past","WB","$40,840","-36.7%","21","-3","$1,945","$467,537","4","USA"
"7","4","The Proposal","Disney","$40,609","-43.4%","16","-9","$2,538","$1,036,599","6","USA"
"8","5","Public Enemies","UIP","$38,776","-44.8%","26","-","$1,491","$275,978","3","Unknown"
"9","7","UIP","$27,529","-34.4%","28","-","$983","$780,082","5","USA",""
"10","8","Coraline","UIP","$16,330","-34.4%","18","-12","$907","$341,195","5","USA"
"11","10","Angels & Demons","Sony","$3,397","-51.7%","3","-6","$1,132","$1,148,249","11","USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Harry Potter and the Half Blood Prince","WB","$665,388","-","34","-","$19,570","$665,388","1","Unknown"
"2","1","Ice Age: Dawn of the Dinosaurs","Fox","$353,741","-24.5%","59","-","$5,996","$2,024,479","3","Unknown"
"3","2","Brüno","Forum Films","$185,678","-38.6%","30","-","$6,189","$595,813","2","Unknown"
"4","4","The Proposal","Disney","$71,714","-21.5%","25","-","$2,869","$958,625","5","USA"
"5","3","Public Enemies","UIP","$70,300","-24.6%","26","-","$2,704","$206,803","2","Unknown"
"6","5","Ghosts of Girlfriends Past","WB","$64,523","-25.7%","24","-","$2,688","$388,110","3","USA"
"7","6","UIP","$41,983","-45.1%","28","-","$1,499","$727,188","4","USA",""
"8","7","Coraline","UIP","$24,888","-15.1%","30","-","$830","$306,198","4","USA"
"9","9","State of Play","UIP","$8,798","-16.2%","20","-","$440","$489,449","7","France, UK, USA"
"10","8","Angels & Demons","Sony","$7,030","-39.0%","9","-2","$781","$1,138,020","10","USA"
"11","10","Terminator Salvation: The Future Begins","Sony","$634","-89.4%","1","-3","$634","$564,572","7","USA"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","1","Ice Age: Dawn of the Dinosaurs","Fox","$468,369","-30.2%","59","-","$7,938","$1,420,695","2","Unknown"
"2","N","Brüno","Forum Films","$302,339","-","30","-","$10,078","$302,339","1","Unknown"
"3","N","Public Enemies","UIP","$93,264","-","26","-","$3,587","$93,264","1","Unknown"
"4","3","The Proposal","Disney","$91,391","-31.8%","25","-","$3,656","$842,965","4","USA"
"5","4","Ghosts of Girlfriends Past","WB","$86,857","-28.1%","24","-","$3,619","$270,226","2","USA"
"6","2","UIP","$76,497","-47.4%","28","-","$2,732","$647,407","3","USA",""
"7","5","Coraline","UIP","$29,316","-40.2%","30","-","$977","$264,408","3","USA"
"8","7","Angels & Demons","Sony","$11,530","-41.8%","11","-5","$1,048","$1,125,714","9","USA"
"9","6","State of Play","UIP","$10,492","-62.4%","20","-","$525","$474,725","6","France, UK, USA"
